Barranca_del_Muerto,19.360648,-99.190149,0,0,SO
Garibaldi,19.444458,-99.139734,0,0,N
Bellas_Artes,19.436243,-99.141945,0,0,N
San_Juan_de_Letran,19.431305,-99.141569,0,0,N
Salto_del_Agua,19.426813,-99.142213,0,0,N
Doctores,19.421612,-99.143372,0,0,N
Obrera,19.413558,-99.144187,0,0,N
Chabacano,19.406438,-99.135754,0,0,SO
La_Viga,19.406495,-99.126248,0,0,SE
Santa_Anita,19.40273,-99.121699,0,0,SE
Coyuya,19.398521,-99.113545,0,0,SE
Iztacalco,19.398521,-99.113545,0,0,SE
Apatlaco,19.379292,-99.109597,0,0,SE
Aculco,19.374069,-99.108095,0,0,SE
Escuadron_201,19.36492,-99.109554,0,0,SE
Atlalilco,19.356134,-99.101315,0,0,SE
Iztapalapa,19.357834,-99.093461,0,0,SE
Cerro_de_la_Estrella,19.356012,-99.085522,0,0,SE
U_A_M_I,19.351234,-99.074707,0,0,SE
Const_de_1917,19.34593,-99.063892,0,0,SE
Tacubaya,19.403439,-99.187102,0,0,SO
Patriotismo,19.406212,-99.178905,0,0,SO
Chilpancingo,19.406131,-99.168477,0,0,SO
Centro_Medico,19.406637,-99.155753,0,0,SO
Lazaro_Cardenas,19.40696,-99.144874,0,0,SO
Chabacano,19.406438,-99.135754,0,0,SO
Jamaica,19.409004,-99.122171,0,0,SE
Mixiuhca,19.408478,-99.112902,0,0,SE
Velodromo,19.408478,-99.103074,0,0,SE
Ciudad_Deportiva,19.408357,-99.091229,0,0,SE
Puebla,19.407142,-99.082432,0,0,SE
Pantitlan,19.415359,-99.072132,0,0,NE
Agricola_Oriental,19.404835,-99.069901,0,0,SE
Canal_de_San_Juan,19.398683,-99.059365,0,0,SE
Tepalcates,19.391335,-99.046383,0,0,SE
Guelatao,19.385162,-99.03574,0,0,SE
Penon_Viejo,19.37332,-99.017093,0,0,SE
Acatitla,19.364737,-99.005892,0,0,SE
Santa_Marta,19.36,-98.994863,0,0,SE
Los_Reyes,19.358968,-98.976903,0,0,SE
La_Paz,19.350526,-98.960745,0,0,SE
Buenavista,19.446603,-99.153199,0,0,N
Guerrero,19.445146,-99.145389,0,0,N
Garibaldi,19.444458,-99.139734,0,0,N
Lagunilla,19.443386,-99.131334,0,0,N
Tepito,19.442495,-99.12333,0,0,N
Morelos,19.438974,-99.118266,0,0,N
San_Lazaro,19.430213,-99.114833,0,0,N
Flores_Magon,19.436567,-99.103675,0,0,N
Romero_Rubio,19.436567,-99.103675,0,0,N
Oceania,19.445672,-99.087238,0,0,NE
Deportivo_Oceania,19.451034,-99.07917,0,0,NE
Bosque_de_Aragon,19.458115,-99.069192,0,0,NE
Villa_de_Aragon,19.461656,-99.061704,0,0,NE
Nezahualcoyotl,19.473066,-99.054537,0,0,NE
Impulsora,19.485851,-99.048915,0,0,NE
Rio_de_los_Remedios,19.490908,-99.046597,0,0,NE
Muzquiz,19.501629,-99.042048,0,0,NE
Tecnologico,19.515301,-99.035997,0,0,NE
Olimpica,19.521328,-99.033422,0,0,NE
Plaza_Aragon,19.528447,-99.030118,0,0,NE
Ciudad_Azteca,19.534595,-99.0275,0,0,NE
Mixcoac,19.3759672,-99.1873062,0,0,SO
Insurgentes_Sur,19.3735027,-99.1780025,0,0,SO
Hospital_20_de_Noviembre,19.3720098,-99.1709071,0,0,SO
Zapata,19.3708837,-99.1651028,0,0,SO
Parque_de_los_Venados,19.3706029,-99.158451,0,0,SO
Eje_Central,19.3616248,-99.1515014,0,0,SO
Ermita,19.3597269,-99.1408128,0,0,SO
Mexicaltzingo,19.3582769,-99.1238317,0,0,SE
Atlalilco,19.3528842,-99.1063866,0,0,SE
Culhuacan,19.3369049,-99.1089642,0,0,SE
San_Andres_Tomatlan,19.3280288,-99.1049463,0,0,SE
Lomas_Estrella,19.3222275,-99.0959689,0,0,SE
Calle_11,19.3204962,-99.0858757,0,0,SE
Periferico_Oriente,19.3177297,-99.0743664,0,0,SE
Tezonco,19.3062731,-99.0652308,0,0,SE
Olivos,19.3042733,-99.0594774,0,0,SE
Nopalera,19.3002888,-99.0461469,0,0,SE
Zapotitlan,19.2966409,-99.0342969,0,0,SE
Tlatenco,19.2943423,-99.0240106,0,0,SE
Tlahuac,19.2859955,-99.0142044,0,0,SE
